X,Y,STATION_ID,STATION_NE,ALIAS_1,X,Y,TEREP__MBF,PEREM__MBF,KUT_TALP__,FURAS_MELY,STN_TIPUS,STATUS,AZONOSIT,MEGJEGYZéS,PCE,TCE,DCE,VC,öSSZES_VOC,icon_url,SZŰR_szuro_ID,SZŰR_szuro_teteje,SZŰR_szuro_alja,SZŰR_szuro_anyaga,SZŰR_szuro_atm,SZŰR_szuro_lyuk_atm,SZŰR_megjegyzes
19.0702279161312,47.645639867076,"13","112",,651712.00,255755.00,105.5000,106.4100,14.91,,,,,,0.05,0.03,0.00,"0",0.08,./0.png,13,9.5,12.5,PVC,"125",,
19.0705588482604,47.6412865158765,"15","114",,651737.00,255271.00,105.4500,106.2800,14.83,,,,,,0.03,0.00,0.00,"0",0.03,./0.png,15,10.1,13.1,PVC,"125",,
19.0728636226351,47.6395111884774,"19",A1,,651910.24,255073.67,103.5714,103.8700,11.10,,,,,,0.05,0.00,0.06,"0",0.11,./0.png,19,,,,"220",,
19.0710705610511,47.6400249519715,"20",A2,,651775.49,255130.75,104.3418,105.1700,12.50,,,,,,0.00,0.00,0.00,"0",0.00,./0.png,20,,,,"220",,
19.0717080719023,47.6407281888913,"21",A3,,651823.37,255208.95,104.4586,105.8100,12.00,12.00,,,,,0.34,0.55,4.61,"0",5.50,./0.png,21,,,,"220",,
19.0733861260778,47.6409779755564,"22",A4,,651949.45,255236.76,103.9539,105.5100,13.70,13.70,,,,,0.10,0.53,21.76,"0",22.39,./0.png,22,,,,"220",,
19.070920189192,47.6406833717435,"23",A5,,651764.17,255203.95,104.9800,105.6500,10.17,,,,,,0.08,0.04,0.18,"0",0.30,./0.png,23,8.5,10.5,,"220",,
19.0723544965091,47.6413868980052,"24",A6,,651871.92,255282.20,104.5900,105.2200,13.00,13.00,,,,,0.12,0.23,6.33,"0",6.68,./0.png,24,8,10,,"220",,
19.0729549932049,47.6416953710009,"25",A7/A,,651917.03,255316.51,104.4100,105.4100,12.00,,,,,,0.11,0.12,1.40,"0",1.63,./0.png,25,7.5,9.5,,"220",,
19.0745506801291,47.6416290946929,"27",A9,,652036.93,255309.18,103.7523,104.3500,15.40,,,,,,0.86,0.10,3.45,"1.12",4.41,./0.png,27,,,,"220",,
19.0716973443336,47.6420641299255,"28",A10,,651822.52,255357.48,104.7222,105.2700,13.10,,,,,,0.39,0.14,2.21,"0",2.74,./0.png,28,,,,"220",,
19.0729174961807,47.6423461239287,"29",A11,,651914.19,255388.86,104.0783,104.7600,13.10,,,,,,0.56,0.12,3.85,"0.47",4.53,./0.png,29,,,,"220",,
19.0707140530967,47.6423013247916,"30",A12,,651748.63,255383.83,104.8563,105.1600,13.50,13.50,,,,,0.01,0.04,0.66,"0",0.71,./0.png,30,,,,"220",,
19.0713108722824,47.6427217872249,"31",A13,,651793.46,255430.59,105.1545,105.7100,13.60,13.50,,,,,0.42,0.08,0.64,"0",1.14,./0.png,31,,,,"220",,
19.0720500763495,47.6427702992807,"32",A14,,651849.00,255436.00,104.5600,105.2900,13.10,,,,,,0.47,0.11,0.75,"0",1.33,./0.png,32,,,,"220",,
19.0730576961657,47.6427565088614,"33",A15,,651924.71,255434.49,103.7616,104.5400,13.50,13.50,,,,,0.05,0.00,166.35,"53.6",166.40,./0.png,33,11.3,13.3,PVC,"220","63",
19.0722232788432,47.6431840063925,"34",A16,,651862.00,255482.00,,,13.20,,,,,,0.03,0.10,100.28,"0",100.41,./0.png,34,,,,"220",,
19.0709845529868,47.6430772196451,"35",A17,,651768.93,255470.10,105.4392,106.3000,13.60,11.10,,,,,0.00,0.05,0.37,"0",0.42,./0.png,35,,,,"220",,
19.0716016379016,47.643249251256,"36",A18,,651815.29,255489.24,104.8272,105.3600,12.50,,,,,,0.32,0.10,0.51,"0",0.93,./0.png,36,,,,"220",,
19.0725910934354,47.6430746486612,"37",A19,,651889.64,255469.85,104.5953,105.5000,12.40,12.40,,,,,0.38,0.04,0.62,"38.2",1.04,./0.png,37,,,,"220",,
19.0722338536626,47.643616544857,"38",A20,,651862.78,255530.09,104.5929,105.0500,12.70,,,,,,0.00,0.07,1.44,"0",1.51,./0.png,38,,,,"220",,
19.0707837153706,47.6437026389083,"39",A21,,651753.82,255539.63,105.1084,105.6300,13.00,,,,,,0.34,0.10,0.95,"0",1.39,./0.png,39,,,,"220",,
19.0713306603183,47.6441683524282,"40",A22,,651794.90,255591.42,104.7906,106.0200,13.00,13.00,,,,,0.02,0.05,0.46,"0",0.53,./0.png,40,,,,"220",,
19.0742468579474,47.6427581398837,"41",A23,,652014.06,255434.70,103.4969,104.1100,14.40,14.40,,,,,0.54,0.24,4.46,"0.75",5.24,./0.png,41,,,,"220",,
19.0751317223173,47.6429185801064,"42",A24,,652080.54,255452.56,104.1919,104.8500,13.50,,,,,,0.42,0.25,3.82,"0",4.49,./0.png,42,,,,"220",,
19.0760471328114,47.643199980974,"43",A25,,652149.31,255483.87,105.5456,106.2500,14.50,,,,,,0.03,0.06,1.03,"0",1.12,./0.png,43,,,,"220",,
19.0771215429444,47.6441183186787,"44",A26,,652230.00,255586.00,105.3500,106.2000,15.00,,,,,,0.22,0.07,1.63,"0",1.92,./0.png,44,,,,"220",,
19.0755456426148,47.6442386820984,"48",A30,,652111.59,255599.34,104.8560,105.0100,14.00,,,,,,5.85,0.11,1.62,"0",7.58,./0.png,48,,,,"220",,
19.0744838188278,47.644238025357,"49",A31,,652031.81,255599.24,104.9436,105.0400,13.40,,,,,,4.18,0.00,0.79,"62.3",4.97,./0.png,49,,,,"220",,
19.0730352023871,47.6444779514441,"50",A32,,651922.96,255625.88,105.0680,105.9700,13.50,,,,,,22.00,0.13,73.79,"0",95.92,./0.png,50,,,,"220",,
19.0754598478237,47.6448615639451,"51",A33,,652105.12,255668.59,105.3084,105.7600,15.00,15.00,,,,,9.51,0.17,7.87,"64.2",17.55,./0.png,51,,,,"220",,
